Term 1	Term 2	Total Frequency	# of Projects Appearing In	In WordNet?
write	replace	35	23	false
end	indicate	35	21	false
dispatch	indicate	34	34	false
create	ensure	34	28	false
init	initiate	34	26	false
handle	create	34	26	false
change	update	34	23	false
dispose	free	34	29	false
make	construct	34	19	true
dispose	clear	33	27	false
update	show	33	24	false
init	populate	33	21	false
clear	make	33	30	true
monitor	invoke	32	8	false
update	send	32	18	false
initialize	prepare	32	17	false
create	populate	32	22	false
make	build	32	29	true
contain	verify	32	6	false
create	read	32	28	false
read	retrieve	32	12	false
update	save	32	29	false
clone	shallow	32	24	false
hash	calculate	31	6	false
try	err	31	1	false
remove	retrieve	31	15	false
refresh	reload	31	26	false
configure	add	31	26	false
init	make	31	28	false
edit	open	31	17	false
initialize	reset	31	29	false
add	generate	31	22	false
reset	restore	31	29	false
init	action	31	30	false
update	notify	31	28	false
attempt	allow	30	3	false
execute	parse	30	8	false
tear	close	30	16	false
close	note	30	26	false
create	request	30	19	false
clean	delete	30	26	false
make	convert	30	27	false
clone	copy	30	23	true
read	throw	30	17	false
cancel	remove	30	30	true
flush	ensure	30	21	false
terminate	allow	29	11	false
finalize	clean	29	24	false
update	force	29	26	false
tear	reset	29	15	false
create	parse	29	29	false
show	print	29	22	false
construct	compute	29	29	false
load	reload	29	26	true
populate	fill	29	22	true
abort	stop	29	23	false
close	force	29	29	false
load	retrieve	29	15	false
press	simulate	28	1	false
section	start	28	1	false
fetch	retrieve	28	16	true
request	send	28	15	false
close	invoke	28	19	false
add	notify	28	16	false
stop	request	28	27	false
update	recompute	28	27	false
op	fn	27	1	false
hash	generate	27	9	false
reduce	access	27	26	false
register	initialize	27	19	false
fire	start	27	18	false
close	cause	27	24	false
close	finish	27	25	true
clear	erase	27	25	false
init	construct	27	27	false
refresh	force	27	26	false
find	retrieve	27	18	true
cast	evaluate	26	1	false
clear	discard	26	24	false
print	display	26	15	false
tear	delete	26	22	false
populate	add	26	18	false
tear	destroy	26	17	false
init	start	26	23	false
read	start	26	13	false
read	write	26	22	false
handle	remove	26	20	false
handle	move	26	11	false
print	output	26	24	false
assert	throw	26	16	false
prune	remove	26	25	false
add	install	26	19	false
close	remove	26	24	false
process	handle	26	16	true
dequeue	remove	26	24	false
skip	advance	25	17	false
tear	remove	25	18	false
take	retrieve	25	18	false
make	add	25	16	true
handle	dispose	25	18	false
flush	remove	25	22	false
write	serialize	25	23	false
finalize	release	25	22	false
start	report	25	15	false
register	create	25	24	false
find	locate	25	21	true
parse	find	24	10	false
op	name	24	1	false
finish	indicate	24	14	false
init	build	24	20	false
compute	generate	24	16	false
create	allocate	24	23	false
load	populate	24	23	false
process	read	24	21	false
start	add	24	20	false
start	connect	24	24	false
reset	create	24	20	false
init	reset	24	20	false
go	invoke	24	14	false
update	add	24	21	false
close	shutdown	24	17	false
load	add	24	20	false
split	splits	24	19	false
create	hook	24	13	false
send	insert	23	2	false
find	specialize	23	7	false
update	read	23	19	false
halt	stop	23	14	true
find	look	23	17	false
create	correspond	23	3	false
suite	construct	23	12	false
reset	close	23	22	false
close	read	23	16	false
require	verify	23	7	false
init	configure	23	16	false
duplicate	create	23	13	false
release	remove	23	15	false
write	print	23	17	true
delete	close	23	23	false
section	end	22	1	false
validate	verify	22	16	false
new	start	22	18	false
skip	read	22	20	false
invalidate	mark	22	20	true
handle	notify	22	11	false
start	load	22	21	false
flush	clear	22	21	false
add	handle	22	15	false
reset	stop	22	22	false
hide	remove	22	19	false
update	remove	22	21	false
close	signal	22	10	false
show	send	22	17	false
end	consume	22	11	false
begin	consume	22	11	false
recycle	reset	22	4	false
clear	throw	22	15	false
finish	complete	22	17	true
validate	make	22	17	false
update	allow	22	19	false
clean	release	22	22	false
handle	prompt	21	10	false
permit	disable	21	5	false
release	void	21	1	false
let	purpose	21	1	false
copy	evaluate	21	1	false
compute	convert	21	5	false
read	open	21	19	false
unregister	stop	21	19	false
process	start	21	12	false
engine	generate	21	4	false
enable	make	21	14	false
resize	double	21	21	false
read	handle	21	15	false
start	verify	21	7	false
post	generate	21	4	false
start	tell	21	20	false
clean	reset	21	13	false
reset	force	21	17	false
num	count	21	20	false
remove	notify	21	16	false
initialise	start	21	7	false
receive	wait	21	15	false
create	override	21	16	false
execute	update	21	15	false
stop	start	21	15	false
init	scan	20	13	false
initialize	fill	20	17	false
pop	generate	20	10	false
monitor	generate	20	10	false
update	initialize	20	16	false
close	cancel	20	13	false
reinitialize	reset	20	18	false
indent	increase	20	18	false
clone	duplicate	20	16	false
extract	remove	20	19	true
update	replace	20	14	false
update	validate	20	16	false
require	throw	20	5	false
new	instantiate	20	10	false
post	make	20	5	false
start	launch	20	20	true
update	ensure	20	12	false
stop	clear	20	20	false
restart	start	20	16	true
create	change	20	16	false
detach	remove	20	17	false
write	generate	20	12	false
close	clear	20	19	false
handle	close	20	18	false
unlink	remove	20	12	false
hook	add	20	14	false
initialize	install	20	12	false
move	advance	20	20	true
open	start	20	17	true
insert	add	20	14	true
create	retrieve	20	15	false
detect	enable	19	5	false
analyze	analyze-string	19	1	false
op	account	19	1	false
init	setup	19	16	false
refresh	command	19	10	false
dump	produce	19	7	false
write	compress	19	19	false
pop	restore	19	17	false
delete	reset	19	19	false
clone	note	19	18	false
go	navigate	19	5	false
drop	remove	19	15	true
increment	increase	19	16	false
draw	render	19	14	false
push	save	19	19	false
generate	fill	19	7	false
define	initialize	19	14	false
close	throw	19	18	false
initialize	ensure	19	18	false
verify	ensure	19	13	true
print	debug	19	18	false
close	commit	19	15	false
start	mark	19	17	false
notify	cause	19	11	false
show	bring	19	10	false
init	prepare	18	11	false
request	start	18	7	false
create	connect	18	18	false
stop	finish	18	16	true
enforce	make	18	10	false
invoke	execute	18	15	false
clear	invalidate	18	18	false
skip	move	18	8	false
try	acquire	18	16	false
close	notify	18	11	false
end	verify	18	4	false
start	ask	18	18	false
evict	clear	18	18	false
create	replace	18	7	false
dispose	stop	18	16	false
add	allow	18	8	false
write	encode	18	18	false
tear	shut	18	14	false
build	initialize	18	18	false
reset	discard	18	16	false
flush	send	18	14	false
cancel	handle	18	17	false
start	initiate	18	18	true
create	give	18	8	true
delete	handle	18	13	false
exclude	configure	18	9	false
update	cause	18	17	false
create	answer	17	6	false
init	define	17	11	false
show	push	17	1	false
clone	synthesize	17	1	false
new	add	17	13	false
write	parse	17	3	false
create	enable	17	16	false
delete	execute	17	15	false
unregister	remove	17	16	false
touch	update	17	17	false
impl	close	17	7	false
close	replace	17	10	false
start	activate	17	17	false
dispose	destroy	17	11	false
refresh	load	17	16	false
stop	allow	17	16	false
process	create	17	14	false
launch	create	17	17	false
update	install	17	15	false
process	delete	17	12	false
fill	load	17	16	true
update	request	17	17	false
populate	update	17	16	false
reset	make	17	16	false
reset	allow	17	16	false
close	terminate	17	14	true
open	make	17	10	false
send	execute	17	15	false
build	load	17	17	false
pick	select	16	6	true
start	register	16	13	false
end	complete	16	9	true
dispose	delete	16	11	false
form	indicate	16	2	false
create	exist	16	14	false
visit	end	16	2	false
report	construct	16	6	false
store	update	16	10	false
initialize	parse	16	9	false
create	setup	16	12	false
init	force	16	15	false
signal	move	16	8	false
wait	cause	16	11	false
read	extract	16	6	false
adjust	log	16	15	false
cancel	notify	16	9	false
update	rebuild	16	13	false
open	load	16	13	false
restore	load	16	14	false
fire	invoke	16	8	false
reset	start	16	15	false
generate	compile	16	11	false
stop	interrupt	16	16	true
dump	debug	16	13	false
remove	add	16	16	false
convert	create	16	16	false
new	write	16	14	false
close	hide	16	12	false
init	fill	16	13	false
end	pass	16	6	false
hash	equal	15	6	false
solve	find	15	15	false
notify	wake	15	6	false
op	date	15	1	false
print	generate	15	6	false
validate	provide	15	4	false
execute	show	15	2	false
finalize	remove	15	14	false
end	signal	15	11	false
flush	wait	15	15	false
open	throw	15	13	false
broadcast	send	15	9	true
create	initialise	15	13	false
log	write	15	14	false
discard	read	15	14	false
wrap	create	15	15	false
finish	write	15	14	false
close	make	15	14	false
create	put	15	11	false
stop	clean	15	15	false
enter	start	15	12	true
make	initialize	15	14	false
reset	prepare	15	12	false
handle	browse	15	9	false
create	display	15	11	false
update	keep	15	9	false
create	find	15	14	false
fill	read	15	15	false
fill	add	15	15	false
push	add	15	15	false
process	parse	15	15	false
exclude	add	15	15	false
write	send	15	15	false
show	popup	15	2	false
create	go	15	9	false
create	specify	15	11	false
start	spawn	15	13	false
init	override	15	14	false
create	delegate	15	14	false
handle	encode	14	2	false
read	convert	14	8	false
refresh	read	14	9	false
read	answer	14	6	false
ensure	throw	14	10	false
invoke	notify	14	7	false
begin	prepare	14	12	false
flatten	generate	14	1	false
open	display	14	3	true
clear	reinitialize	14	11	false
stop	cause	14	14	false
tag	parse	14	4	false
start	note	14	13	false
release	reset	14	10	false
init	initial	14	14	false
load	find	14	9	false
update	load	14	13	false
print	log	14	13	false
increment	add	14	13	false
refresh	reread	14	10	false
create	contain	14	10	false
extract	create	14	10	true
process	notify	14	8	false
read	find	14	10	false
reset	send	14	13	false
prepare	build	14	10	false
create	customize	14	6	true
update	compute	14	13	false
advance	resume	14	14	false
execute	load	14	11	false
read	avoid	14	10	false
build	add	14	11	false
normalize	make	14	13	false
flush	reset	14	14	false
go	resume	14	8	false
end	follow	14	13	false
switch	toggle	14	12	false
update	tell	14	10	false
init	ensure	14	14	false
start	enable	14	14	false
reset	empty	14	14	false
disable	turn	14	12	false
refresh	create	14	11	false
remove	unsupport	14	12	false
clear	cancel	14	14	false
generate	place	14	10	false
request	ask	13	7	true
stat	generate	13	4	false
pop	create	13	13	false
mark	kill	13	13	false
clear	unsupport	13	13	false
assert	ensure	13	10	false
end	make	13	7	false
add	unsupport	13	4	false
refresh	clear	13	12	false
shut	shutdown	13	11	false
clone	produce	13	11	false
flush	empty	13	13	false
stop	release	13	11	false
close	send	13	13	false
end	process	13	12	false
start	pass	13	8	false
find	figure	13	13	false
add	ensure	13	11	false
build	rebuild	13	12	true
disable	remove	13	8	false
init	invoke	13	11	false
clear	unregister	13	12	false
close	wait	13	13	false
emit	write	13	12	false
assert	verify	13	9	true
accept	wait	13	12	false
end	free	13	9	false
engine	reset	13	9	false
process	go	13	13	false
reset	invoke	13	13	false
read	indicate	13	11	true
read	make	13	13	false
add	attach	13	11	false
clean	drop	13	13	false
activate	create	13	13	false
init	instantiate	13	13	false
print	list	13	8	false
stop	signal	13	11	false
push	create	13	12	false
prepare	add	13	12	false
draw	add	13	13	false
process	execute	13	11	false
log	dump	13	11	false
find	list	13	10	false
find	scan	13	11	false
init	clear	13	10	false
execute	generate	13	8	false
dispatch	process	13	13	false
end	examine	13	12	false
end	imply	13	12	false
end	general	13	12	false
toggle	change	13	11	false
initialize	configure	13	13	false
create	note	13	11	false
read	unescape	13	13	false
init	generate	13	12	false
show	start	13	11	false
finalize	make	13	12	false
open	initialize	13	13	false
recycle	put	12	4	false
send	post	12	9	true
clear	release	12	11	false
select	action	12	2	false
size	retrieve	12	1	false
execute	evaluate	12	8	false
compute	answer	12	7	false
compute	initialize	12	6	false
abort	interrupt	12	12	false
load	locate	12	12	false
make	represent	12	12	true
close	destroy	12	10	false
update	start	12	12	false
grow	increase	12	11	true
select	move	12	12	false
send	start	12	12	false
validate	override	12	12	false
tear	drop	12	3	false
zz	contain	12	12	false
pause	stop	12	9	false
start	signal	12	10	false
new	initialize	12	6	false
start	handle	12	12	false
remove	insert	12	6	false
push	start	12	10	false
end	filter	12	10	false
start	filter	12	10	false
make	change	12	9	true
flush	finish	12	9	false
log	close	12	12	false
recycle	clear	12	10	false
load	fetch	12	11	false
clear	deselect	12	10	false
expunge	delete	12	11	true
call	deliver	12	12	false
finalize	write	12	12	false
shift	produce	12	6	false
num	total	12	12	false
term	parse	12	12	false
delete	purge	12	12	false
free	release	12	9	true
reset	put	12	12	false
finalize	free	12	10	false
create	pass	12	12	false
reset	throw	12	11	false
make	mark	12	9	true
activate	prepare	12	12	false
revalidate	override	12	12	false
put	add	12	8	false
init	fetch	12	9	false
finish	ensure	12	12	false
start	notify	12	11	false
end	notify	12	11	false
init	find	12	9	false
start	invoke	12	11	false
refresh	bring	12	12	false
update	draw	12	9	false
update	generate	12	12	false
copy	produce	12	4	false
await	cause	12	12	false
close	create	12	12	false
read	glyph	12	6	false
read	provide	12	8	false
init	allow	12	12	false
reload	clear	12	10	false
show	change	12	10	false
update	move	12	12	false
init	open	12	12	false
validate	indicate	12	3	false
end	reset	12	12	false
init	calculate	12	12	false
update	retrieve	12	12	false
render	generate	12	6	true
end	terminate	12	8	true
reset	mark	12	11	false
create	take	12	10	false
update	mark	12	7	false
prepare	make	12	12	true
clone	object	12	12	false
fire	load	11	1	false
slave	make	11	3	false
tear	release	11	6	false
update	override	11	8	false
null	verify	11	2	false
update	synchronize	11	10	false
output	create	11	4	true
build	store	11	3	false
read	allow	11	11	false
create	mock	11	8	false
kill	tell	11	11	false
swap	generate	11	10	false
throw	generate	11	11	false
return	generate	11	11	true
adjust	shift	11	11	false
create	throw	11	10	false
show	focus	11	4	false
terminate	release	11	10	false
paste	insert	11	11	false
reset	load	11	10	false
update	consider	11	11	false
invalidate	cause	11	11	false
invalidate	override	11	9	false
clear	correspond	11	2	false
tear	cleanup	11	7	false
phase	execute	11	1	false
refresh	cause	11	8	false
handle	send	11	8	false
post	allow	11	4	false
select	add	11	10	false
load	construct	11	10	false
load	laod	11	11	false
floor	round	11	7	false
create	select	11	6	false
stop	force	11	10	false
query	execute	11	5	false
verify	send	11	9	false
serialize	save	11	7	false
perform	execute	11	10	true
call	indicate	11	11	true
truncate	change	11	11	false
dispose	disconnect	11	7	false
load	provide	11	9	false
generate	populate	11	8	false
init	initalize	11	9	false
yield	cause	11	10	false
clone	contain	11	9	false
invalidate	close	11	11	false
force	terminate	11	10	false
end	send	11	8	false
draw	create	11	7	true
replicate	send	11	11	false
create	reduce	11	5	false
tear	clear	11	10	false
dispose	unregister	11	10	false
clear	unset	11	11	false
initialize	setup	11	10	false
suite	build	11	9	false
perform	delete	11	9	false
initialize	generate	11	11	false
clear	purge	11	10	true
add	open	11	8	false
ping	send	11	7	false
close	detach	11	6	false
find	calculate	11	9	false
simplify	replace	11	7	false
enter	call	11	11	false
make	remove	11	9	false
populate	read	11	10	false
reset	support	11	11	false
update	display	11	10	false
activate	register	11	8	false
create	obtain	11	11	false
discard	remove	11	11	true
reset	show	11	11	false
receive	read	11	8	false
finish	send	11	7	false
create	extend	11	10	false
show	add	11	9	false
close	optimize	11	11	false
browse	open	10	9	false
prepare	invoke	10	7	false
select	simulate	10	1	false
paint	display	10	2	false
extract	parse	10	10	false
begin	create	10	8	false
authenticate	handle	10	6	false
initialize	intialize	10	7	false
describe	support	10	4	false
migrate	move	10	6	true
mean	calculate	10	7	false
invalidate	remove	10	8	false
start	kick	10	10	false
write	output	10	7	false
smooth	initiate	10	5	false
refresh	ask	10	10	false
ensure	have	10	10	false
garbage	remove	10	10	false
read	consume	10	6	false
refresh	trigger	10	9	false
invoke	commence	10	5	false
poll	unschedule	10	5	false
read	note	10	8	false
invalidate	repaint	10	10	false
copy	place	10	10	false
open	write	10	8	false
invalidate	indicate	10	5	false
allow	take	10	5	false
clear	tell	10	10	false
invalidate	void	10	2	true
open	remove	10	10	false
open	obtain	10	7	false
load	compile	10	5	false
create	commit	10	4	false
mark	walk	10	10	false
start	cause	10	9	false
launch	take	10	10	false
execute	take	10	8	false
update	let	10	10	false
rev	reverse	10	2	false
release	mark	10	10	false
unwrap	instantiate	10	10	false
reset	Re-positions	10	10	false
seek	position	10	10	false
initialize	write	10	10	false
cancel	request	10	9	false
parse	start	10	10	false
clean	make	10	6	false
send	create	10	9	false
fire	trigger	10	6	false
have	verify	10	4	false
exclude	verify	10	1	false
await	throw	10	8	false
clone	throw	10	9	false
rewind	reset	10	10	false
update	fetch	10	10	false
impl	reset	10	4	false
go	start	10	10	true
update	adjust	10	9	false
create	feature	10	9	false
repaint	override	10	9	false
end	finalize	10	10	true
build	hook	10	6	false
initialize	populate	10	10	false
create	bind	10	10	false
make	calculate	10	7	false
toggle	turn	10	2	false
load	clear	10	10	false
customize	enable	10	1	false
welcome	note	10	10	false
process	move	10	4	false
new	ensure	10	9	false
close	tell	10	9	false
stop	save	10	7	false
use	describe	10	2	false
clean	free	10	5	false
increment	record	10	10	false
log	create	10	8	false
toggle	show	10	9	false
recompute	compute	10	9	false
enable	add	10	9	false
refresh	make	10	9	false
build	assemble	10	7	false
init	parse	10	10	false
null	clear	10	8	false
delete	create	10	8	false
reload	read	10	10	false
switch	change	10	5	true
notify	tell	10	8	false
update	fill	10	9	false
weak	specify	10	4	false
build	duplicate	10	3	false
dump	write	10	9	false
generate	find	10	10	false
load	display	10	10	false
create	represent	10	9	false
process	compute	10	9	true
attempt	handle	9	3	false
attempt	present	9	3	false
flush	save	9	5	false
remove	destroy	9	5	false
compact	reduce	9	8	false
engine	complete	9	5	false
create	assume	9	3	false
execute	insert	9	2	false
cancel	action	9	5	false
clear	note	9	8	false
connect	obtain	9	6	false
show	ask	9	3	false
revert	undo	9	9	false
flush	indicate	9	9	false
create	support	9	9	false
init	provide	9	9	false
start	make	9	9	true
make	decorate	9	2	false
unlock	remove	9	9	false
refresh	scan	9	9	false
add	contain	9	9	false
report	log	9	9	false
reconnect	refresh	9	9	false
reload	recompute	9	9	false
resort	sort	9	9	false
select	key	9	9	false
redistribute	distribute	9	5	true
offer	stay	9	9	false
initialize	Memory-related	9	9	false
finalize	dispose	9	8	false
peek	read	9	9	false
init	store	9	9	false
begin	mark	9	5	false
stop	mark	9	9	false
receive	block	9	5	false
cut	delete	9	9	false
tear	stop	9	8	false
wipe	clear	9	9	false
clear	free	9	9	true
cancel	turn	9	9	false
clear	forget	9	9	false
populate	build	9	6	false
update	ask	9	8	false
resize	increase	9	9	false
build	scan	9	5	false
describe	give	9	1	false
format	wrong	9	1	false
process	allow	9	8	false
wait	lock	9	9	false
acquire	lock	9	5	false
cancel	cleanup	9	9	false
open	begin	9	7	false
task	execute	9	7	false
build	update	9	8	false
stop	instruct	9	9	false
build	combine	9	7	false
find	number	9	9	true
request	notify	9	8	false
prompt	open	9	6	false
make	write	9	6	true
reload	force	9	7	false
execute	validate	9	6	false
build	output	9	9	false
clear	disable	9	8	false
serialize	convert	9	9	false
generate	copy	9	3	false
finalize	command	9	9	false
report	give	9	9	false
terminate	schedule	9	9	false
assign	initialize	9	9	false
process	reap	9	9	false
roll	close	9	9	false
shift	make	9	9	false
write	pick	9	9	false
process	add	9	6	false
open	grab	9	9	false
quarter	digest	9	9	false
stop	disable	9	9	false
reload	invoke	9	9	false
guess	make	9	5	true
open	send	9	7	false
store	create	9	9	false
send	put	9	6	false
clear	destroy	9	8	false
clear	ensure	9	9	false
end	release	9	9	false
flush	notify	9	5	false
close	provide	9	9	false
accept	listen	9	8	false
compile	create	9	7	false
recreate	cause	9	9	false
close	interrupt	9	9	false
new	allocate	9	8	false
invalidate	request	9	9	false
draw	hide	9	5	false
build	configure	9	9	false
flush	cause	9	7	false
update	apply	9	7	false
post	process	9	2	false
push	result	9	9	false
restore	read	9	9	false
close	request	9	7	false
acquire	prevent	9	5	false
forget	link	9	9	false
sweep	unlink	9	9	false
delete	mark	9	6	false
clean	cleanup	9	8	false
process	make	9	9	false
reset	rest	9	9	false
init	retrieve	9	8	false
build	parse	9	8	false
release	disconnect	9	6	false
go	output	9	5	false
make	handle	9	9	false
read	generate	9	6	false
write	persist	9	7	false
mark	remove	9	9	false
close	satisfy	9	9	false
close	indicate	9	9	false
update	indicate	9	9	false
kill	destroy	9	5	true
process	cancel	9	2	false
close	forget	9	9	false
choose	open	9	5	false
load	force	9	9	false
close	kill	9	9	false
initialize	allow	9	9	false
mark	notify	9	8	false
dispose	detach	9	4	false
describe	retrieve	9	6	false
prepare	load	9	7	false
serialize	configure	9	9	false
disable	configure	9	9	false
disable	escape	9	9	false
serialize	section	9	9	false
load	iterate	9	9	false
update	time	9	9	false
validate	throw	9	9	false
move	go	9	6	true
create	transform	9	6	false
post	invoke	9	6	false
rebuild	create	9	9	false
recycle	free	8	3	false
read	wait	8	4	false
build	list	8	2	false
update	reflect	8	7	false
request	post	8	4	false
arg	find	8	5	false
include	add	8	8	true
finish	notify	8	7	false
populate	put	8	3	false
pre	allow	8	1	false
hash	create	8	6	false
install	attach	8	4	false
send	tell	8	5	false
face	rotate	8	1	false
bind	start	8	6	false
print	convert	8	8	false
perform	create	8	5	false
disconnect	stop	8	7	false
graph	build	8	2	false
advance	read	8	8	false
wait	sleep	8	8	false
load	save	8	4	false
create	match	8	8	false
stop	indicate	8	8	false
process	place	8	8	false
abort	drain	8	8	false
abort	discard	8	8	false
close	reduce	8	8	false
compute	please	8	8	false
create	append	8	7	false
find	initialize	8	8	false
use	write	8	2	false
make	produce	8	6	true
have	assert	8	5	false
dispatch	cause	8	5	false
prune	make	8	8	false
monitor	acquire	8	8	false
request	schedule	8	8	false
post	cause	8	6	false
new	build	8	4	false
call	invoke	8	8	false
draw	show	8	2	false
dump	save	8	2	false
extract	value	8	1	false
process	action	8	2	true
resolve	fetch	8	2	false
persist	build	8	1	false
choose	create	8	7	false
load	download	8	4	false
clone	avoid	8	7	false
add	note	8	8	false
build	convert	8	8	false
abandon	tell	8	8	false
emit	create	8	8	false
recycle	release	8	6	false
end	handle	8	8	false
grow	bump	8	8	false
invalidate	reset	8	8	false
show	notify	8	5	false
num	access	8	8	false
serve	start	8	4	false
wait	allow	8	8	false
pop	revert	8	8	false
read	acquire	8	8	false
initialize	construct	8	6	false
execute	launch	8	8	false
clear	display	8	2	false
optimize	combine	8	6	false
hide	send	8	8	false
enable	put	8	6	false
take	remove	8	8	true
create	force	8	7	false
dump	output	8	5	false
delete	make	8	7	false
post	execute	8	8	false
write	iterate	8	7	false
compute	let	8	8	false
parse	provide	8	8	false
leave	leaf	8	8	false
update	flush	8	8	false
decrement	decrease	8	7	false
update	copy	8	8	false
handle	pop	8	2	false
add	bind	8	5	false
ensure	load	8	7	false
create	insert	8	8	false
engine	digest	8	7	false
begin	indicate	8	6	false
select	detect	8	4	false
tear	trigger	8	8	false
grow	resize	8	8	false
drain	acquire	8	8	false
try	cancel	8	8	false
park	disable	8	8	false
engine	compute	8	4	false
engine	initialize	8	5	false
clone	begin	8	4	false
init	note	8	8	false
execute	find	8	8	false
reset	handle	8	8	false
add	override	8	7	false
clear	indicate	8	5	false
verify	create	8	6	false
update	select	8	7	false
save	force	8	7	false
handle	validate	8	6	false
establish	open	8	7	true
enter	create	8	6	false
ack	send	8	2	false
clear	create	8	8	true
execute	verify	8	3	false
pause	toggle	8	8	false
start	force	8	8	false
assert	validate	8	4	false
assert	make	8	7	false
allow	enable	8	7	false
abort	terminate	8	7	true
clone	allow	8	8	false
calculate	generate	8	5	false
add	provide	8	7	false
open	signal	8	3	false
read	add	8	8	false
post	clean	8	8	false
init	handle	8	8	false
init	finish	8	6	false
edit	show	8	7	false
init	install	8	7	false
read	configure	8	8	false
clear	update	8	7	false
update	take	8	8	false
null	create	8	6	false
init	allocate	8	6	false
find	add	8	8	false
restore	remove	8	8	false
fine	mark	8	8	false
clear	force	8	8	false
wait	ensure	8	8	false
add	apply	8	5	false
activate	connect	8	8	false
end	record	8	8	false
perform	restore	8	7	false
execute	signal	8	1	false
show	launch	8	6	false
try	add	8	7	false
clear	save	8	8	false
extinguish	remove	8	8	false
perform	setup	8	8	false
tick	play	8	8	false
init	intilize	8	8	false
copy	stack	8	8	false
add	increase	8	8	true
parse	look	8	7	false
close	ensure	8	6	false
init	copy	8	8	false
stand	create	8	2	false
start	keep	7	7	false
update	setup	7	7	false
finish	clean	7	6	false
interrupt	request	7	5	false
create	message	7	4	false
collect	create	7	7	false
load	extract	7	3	false
release	delete	7	3	false
update	iterate	7	7	false
new	answer	7	4	false
free	delete	7	4	false
