Class;Method1;Method2;Type;Param1;Param2;Cloned text;Legit?
org.apache.hadoop.hdfs.tools.DFSAdmin;void allowSnapshot(String[] argv);int fetchImage(String[] argv, int idx);@param;String[] argv;String[] argv;List of of command line parameters.;true
org.apache.hadoop.hdfs.tools.DFSAdmin;void allowSnapshot(String[] argv);int metaSave(String[] argv, int idx);@param;String[] argv;String[] argv;List of of command line parameters.;true
org.apache.hadoop.hdfs.tools.DFSAdmin;void disallowSnapshot(String[] argv);int setBalancerBandwidth(String[] argv, int idx);@param;String[] argv;String[] argv;List of of command line parameters.;true
org.apache.hadoop.hdfs.tools.DFSAdmin;void disallowSnapshot(String[] argv);int fetchImage(String[] argv, int idx);@param;String[] argv;String[] argv;List of of command line parameters.;true
org.apache.hadoop.hdfs.tools.DFSAdmin;void disallowSnapshot(String[] argv);int metaSave(String[] argv, int idx);@param;String[] argv;String[] argv;List of of command line parameters.;true
org.apache.hadoop.hdfs.tools.DFSAdmin;int setBalancerBandwidth(String[] argv, int idx);int fetchImage(String[] argv, int idx);@param;String[] argv;String[] argv;List of of command line parameters.;true
org.apache.hadoop.hdfs.tools.DFSAdmin;int setBalancerBandwidth(String[] argv, int idx);int fetchImage(String[] argv, int idx);@param;int idx;int idx;The index of the command that is being processed.;true
org.apache.hadoop.hdfs.tools.DFSAdmin;int setBalancerBandwidth(String[] argv, int idx);int metaSave(String[] argv, int idx);@param;String[] argv;String[] argv;List of of command line parameters.;true
org.apache.hadoop.hdfs.tools.DFSAdmin;int setBalancerBandwidth(String[] argv, int idx);int metaSave(String[] argv, int idx);@param;int idx;int idx;The index of the command that is being processed.;true
org.apache.hadoop.hdfs.tools.DFSAdmin;int fetchImage(String[] argv, int idx);int metaSave(String[] argv, int idx);@param;String[] argv;String[] argv;List of of command line parameters.;true
org.apache.hadoop.hdfs.tools.DFSAdmin;int fetchImage(String[] argv, int idx);int metaSave(String[] argv, int idx);@param;int idx;int idx;The index of the command that is being processed.;true
org.apache.hadoop.hdfs.tools.DFSAdmin;int refreshServiceAcl();int refreshUserToGroupsMappings();@return;;;exitcode 0 on success, non-zero on failure;false
org.apache.hadoop.hdfs.tools.DFSAdmin;int refreshServiceAcl();int refreshSuperUserGroupsConfiguration();@return;;;exitcode 0 on success, non-zero on failure;false
org.apache.hadoop.hdfs.tools.DFSAdmin;int refreshUserToGroupsMappings();int refreshSuperUserGroupsConfiguration();@return;;;exitcode 0 on success, non-zero on failure;false
org.apache.hadoop.hdfs.tools.DFSAdmin;int run(String[] argv);void main(String[] argv);@throws;;;if the filesystem does not exist.;true
org.apache.hadoop.hdfs.DFSUtil;byte[][] bytes2byteArray(byte[] bytes, byte separator);byte[][] bytes2byteArray(byte[] bytes, int len, byte separator);@param;byte separator;byte separator;the delimiting byte;true
org.apache.hadoop.hdfs.DFSUtil;Collection getNameServiceIds(Configuration conf);Collection getNameNodeIds(Configuration conf, String nsId);@param;Configuration conf;Configuration conf;configuration;true
org.apache.hadoop.hdfs.DFSUtil;Collection getNameServiceIds(Configuration conf);Map getHaNnRpcAddresses(Configuration conf);@param;Configuration conf;Configuration conf;configuration;true
org.apache.hadoop.hdfs.DFSUtil;Collection getNameServiceIds(Configuration conf);Map getBackupNodeAddresses(Configuration conf);@param;Configuration conf;Configuration conf;configuration;true
org.apache.hadoop.hdfs.DFSUtil;Collection getNameServiceIds(Configuration conf);Map getSecondaryNameNodeAddresses(Configuration conf);@param;Configuration conf;Configuration conf;configuration;true
org.apache.hadoop.hdfs.DFSUtil;Collection getNameServiceIds(Configuration conf);Map getNNServiceRpcAddresses(Configuration conf);@param;Configuration conf;Configuration conf;configuration;true
org.apache.hadoop.hdfs.DFSUtil;Collection getNameServiceIds(Configuration conf);Map getNNServiceRpcAddressesForCluster(Configuration conf);@param;Configuration conf;Configuration conf;configuration;true
org.apache.hadoop.hdfs.DFSUtil;Collection getNameServiceIds(Configuration conf);Collection getInternalNsRpcUris(Configuration conf);@param;Configuration conf;Configuration conf;configuration;true
org.apache.hadoop.hdfs.DFSUtil;Collection getNameServiceIds(Configuration conf);Collection getNameServiceUris(Configuration conf, Collection nameServices, String keys);@param;Configuration conf;Configuration conf;configuration;true
org.apache.hadoop.hdfs.DFSUtil;Collection getNameServiceIds(Configuration conf);URI getInfoServer(InetSocketAddress namenodeAddr, Configuration conf, String scheme);@param;Configuration conf;Configuration conf;configuration;true
org.apache.hadoop.hdfs.DFSUtil;Collection getNameServiceIds(Configuration conf);void addPBProtocol(Configuration conf, Class protocol, BlockingService service, RPC.Server server);@param;Configuration conf;Configuration conf;configuration;true
org.apache.hadoop.hdfs.DFSUtil;Collection getNameNodeIds(Configuration conf, String nsId);Map getHaNnRpcAddresses(Configuration conf);@param;Configuration conf;Configuration conf;configuration;true
org.apache.hadoop.hdfs.DFSUtil;Collection getNameNodeIds(Configuration conf, String nsId);Map getBackupNodeAddresses(Configuration conf);@param;Configuration conf;Configuration conf;configuration;true
org.apache.hadoop.hdfs.DFSUtil;Collection getNameNodeIds(Configuration conf, String nsId);Map getSecondaryNameNodeAddresses(Configuration conf);@param;Configuration conf;Configuration conf;configuration;true
org.apache.hadoop.hdfs.DFSUtil;Collection getNameNodeIds(Configuration conf, String nsId);Map getNNServiceRpcAddresses(Configuration conf);@param;Configuration conf;Configuration conf;configuration;true
org.apache.hadoop.hdfs.DFSUtil;Collection getNameNodeIds(Configuration conf, String nsId);Map getNNServiceRpcAddressesForCluster(Configuration conf);@param;Configuration conf;Configuration conf;configuration;true
org.apache.hadoop.hdfs.DFSUtil;Collection getNameNodeIds(Configuration conf, String nsId);Collection getInternalNsRpcUris(Configuration conf);@param;Configuration conf;Configuration conf;configuration;true
org.apache.hadoop.hdfs.DFSUtil;Collection getNameNodeIds(Configuration conf, String nsId);Collection getNameServiceUris(Configuration conf, Collection nameServices, String keys);@param;Configuration conf;Configuration conf;configuration;true
org.apache.hadoop.hdfs.DFSUtil;Collection getNameNodeIds(Configuration conf, String nsId);URI getInfoServer(InetSocketAddress namenodeAddr, Configuration conf, String scheme);@param;Configuration conf;Configuration conf;configuration;true
org.apache.hadoop.hdfs.DFSUtil;Collection getNameNodeIds(Configuration conf, String nsId);void addPBProtocol(Configuration conf, Class protocol, BlockingService service, RPC.Server server);@param;Configuration conf;Configuration conf;configuration;true
org.apache.hadoop.hdfs.DFSUtil;Map getRpcAddressesForNameserviceId(Configuration conf, String nsId, String defaultValue);String[] getSuffixIDs(Configuration conf, String addressKey, String knownNsId, String knownNNId, AddressMatcher matcher);@param;Configuration conf;Configuration conf;Configuration;true
org.apache.hadoop.hdfs.DFSUtil;Map getRpcAddressesForNameserviceId(Configuration conf, String nsId, String defaultValue);String getNamenodeServiceAddr(Configuration conf, String nsId, String nnId);@param;Configuration conf;Configuration conf;Configuration;true
org.apache.hadoop.hdfs.DFSUtil;Map getRpcAddressesForNameserviceId(Configuration conf, String nsId, String defaultValue);float getInvalidateWorkPctPerIteration(Configuration conf);@param;Configuration conf;Configuration conf;Configuration;true
org.apache.hadoop.hdfs.DFSUtil;Map getRpcAddressesForNameserviceId(Configuration conf, String nsId, String defaultValue);int getReplWorkMultiplier(Configuration conf);@param;Configuration conf;Configuration conf;Configuration;true
org.apache.hadoop.hdfs.DFSUtil;Map getRpcAddressesForNameserviceId(Configuration conf, String nsId, String defaultValue);String getSpnegoKeytabKey(Configuration conf, String defaultKey);@param;Configuration conf;Configuration conf;Configuration;true
org.apache.hadoop.hdfs.DFSUtil;Map getRpcAddressesForNameserviceId(Configuration conf, String nsId, String defaultValue);KeyProvider createKeyProvider(Configuration conf);@param;Configuration conf;Configuration conf;Configuration;true
org.apache.hadoop.hdfs.DFSUtil;Map getRpcAddressesForNameserviceId(Configuration conf, String nsId, String defaultValue);KeyProviderCryptoExtension createKeyProviderCryptoExtension(Configuration conf);@param;Configuration conf;Configuration conf;Configuration;true
org.apache.hadoop.hdfs.DFSUtil;Map getHaNnRpcAddresses(Configuration conf);Map getHaNnWebHdfsAddresses(Configuration conf, String scheme);@return;;;list of InetSocketAddresses;false
org.apache.hadoop.hdfs.DFSUtil;Map getHaNnRpcAddresses(Configuration conf);Map getBackupNodeAddresses(Configuration conf);@return;;;list of InetSocketAddresses;false
org.apache.hadoop.hdfs.DFSUtil;Map getHaNnRpcAddresses(Configuration conf);Map getBackupNodeAddresses(Configuration conf);@param;Configuration conf;Configuration conf;configuration;true
org.apache.hadoop.hdfs.DFSUtil;Map getHaNnRpcAddresses(Configuration conf);Map getSecondaryNameNodeAddresses(Configuration conf);@return;;;list of InetSocketAddresses;false
org.apache.hadoop.hdfs.DFSUtil;Map getHaNnRpcAddresses(Configuration conf);Map getSecondaryNameNodeAddresses(Configuration conf);@param;Configuration conf;Configuration conf;configuration;true
org.apache.hadoop.hdfs.DFSUtil;Map getHaNnRpcAddresses(Configuration conf);Map getNNServiceRpcAddresses(Configuration conf);@param;Configuration conf;Configuration conf;configuration;true
org.apache.hadoop.hdfs.DFSUtil;Map getHaNnRpcAddresses(Configuration conf);Map getNNServiceRpcAddressesForCluster(Configuration conf);@param;Configuration conf;Configuration conf;configuration;true
org.apache.hadoop.hdfs.DFSUtil;Map getHaNnRpcAddresses(Configuration conf);Collection getInternalNsRpcUris(Configuration conf);@param;Configuration conf;Configuration conf;configuration;true
org.apache.hadoop.hdfs.DFSUtil;Map getHaNnRpcAddresses(Configuration conf);Collection getNameServiceUris(Configuration conf, Collection nameServices, String keys);@param;Configuration conf;Configuration conf;configuration;true
org.apache.hadoop.hdfs.DFSUtil;Map getHaNnRpcAddresses(Configuration conf);URI getInfoServer(InetSocketAddress namenodeAddr, Configuration conf, String scheme);@param;Configuration conf;Configuration conf;configuration;true
org.apache.hadoop.hdfs.DFSUtil;Map getHaNnRpcAddresses(Configuration conf);void addPBProtocol(Configuration conf, Class protocol, BlockingService service, RPC.Server server);@param;Configuration conf;Configuration conf;configuration;true
org.apache.hadoop.hdfs.DFSUtil;Map getHaNnWebHdfsAddresses(Configuration conf, String scheme);Map getBackupNodeAddresses(Configuration conf);@return;;;list of InetSocketAddresses;false
org.apache.hadoop.hdfs.DFSUtil;Map getHaNnWebHdfsAddresses(Configuration conf, String scheme);Map getSecondaryNameNodeAddresses(Configuration conf);@return;;;list of InetSocketAddresses;false
org.apache.hadoop.hdfs.DFSUtil;Map getBackupNodeAddresses(Configuration conf);Map getSecondaryNameNodeAddresses(Configuration conf);@return;;;list of InetSocketAddresses;false
org.apache.hadoop.hdfs.DFSUtil;Map getBackupNodeAddresses(Configuration conf);Map getSecondaryNameNodeAddresses(Configuration conf);@param;Configuration conf;Configuration conf;configuration;true
org.apache.hadoop.hdfs.DFSUtil;Map getBackupNodeAddresses(Configuration conf);Map getSecondaryNameNodeAddresses(Configuration conf);@throws;;;on error;true
org.apache.hadoop.hdfs.DFSUtil;Map getBackupNodeAddresses(Configuration conf);Map getNNServiceRpcAddresses(Configuration conf);@param;Configuration conf;Configuration conf;configuration;true
org.apache.hadoop.hdfs.DFSUtil;Map getBackupNodeAddresses(Configuration conf);Map getNNServiceRpcAddresses(Configuration conf);@throws;;;on error;true
org.apache.hadoop.hdfs.DFSUtil;Map getBackupNodeAddresses(Configuration conf);Map getNNServiceRpcAddressesForCluster(Configuration conf);@param;Configuration conf;Configuration conf;configuration;true
org.apache.hadoop.hdfs.DFSUtil;Map getBackupNodeAddresses(Configuration conf);Map getNNServiceRpcAddressesForCluster(Configuration conf);@throws;;;on error;true
org.apache.hadoop.hdfs.DFSUtil;Map getBackupNodeAddresses(Configuration conf);Collection getInternalNsRpcUris(Configuration conf);@param;Configuration conf;Configuration conf;configuration;true
org.apache.hadoop.hdfs.DFSUtil;Map getBackupNodeAddresses(Configuration conf);Collection getNameServiceUris(Configuration conf, Collection nameServices, String keys);@param;Configuration conf;Configuration conf;configuration;true
org.apache.hadoop.hdfs.DFSUtil;Map getBackupNodeAddresses(Configuration conf);URI getInfoServer(InetSocketAddress namenodeAddr, Configuration conf, String scheme);@param;Configuration conf;Configuration conf;configuration;true
org.apache.hadoop.hdfs.DFSUtil;Map getBackupNodeAddresses(Configuration conf);String[] getSuffixIDs(Configuration conf, String addressKey, String knownNsId, String knownNNId, AddressMatcher matcher);@throws;;;on error;false
org.apache.hadoop.hdfs.DFSUtil;Map getBackupNodeAddresses(Configuration conf);void addPBProtocol(Configuration conf, Class protocol, BlockingService service, RPC.Server server);@param;Configuration conf;Configuration conf;configuration;true
org.apache.hadoop.hdfs.DFSUtil;Map getSecondaryNameNodeAddresses(Configuration conf);Map getNNServiceRpcAddresses(Configuration conf);@param;Configuration conf;Configuration conf;configuration;true
org.apache.hadoop.hdfs.DFSUtil;Map getSecondaryNameNodeAddresses(Configuration conf);Map getNNServiceRpcAddresses(Configuration conf);@throws;;;on error;true
org.apache.hadoop.hdfs.DFSUtil;Map getSecondaryNameNodeAddresses(Configuration conf);Map getNNServiceRpcAddressesForCluster(Configuration conf);@param;Configuration conf;Configuration conf;configuration;true
org.apache.hadoop.hdfs.DFSUtil;Map getSecondaryNameNodeAddresses(Configuration conf);Map getNNServiceRpcAddressesForCluster(Configuration conf);@throws;;;on error;true
org.apache.hadoop.hdfs.DFSUtil;Map getSecondaryNameNodeAddresses(Configuration conf);Collection getInternalNsRpcUris(Configuration conf);@param;Configuration conf;Configuration conf;configuration;true
org.apache.hadoop.hdfs.DFSUtil;Map getSecondaryNameNodeAddresses(Configuration conf);Collection getNameServiceUris(Configuration conf, Collection nameServices, String keys);@param;Configuration conf;Configuration conf;configuration;true
org.apache.hadoop.hdfs.DFSUtil;Map getSecondaryNameNodeAddresses(Configuration conf);URI getInfoServer(InetSocketAddress namenodeAddr, Configuration conf, String scheme);@param;Configuration conf;Configuration conf;configuration;true
org.apache.hadoop.hdfs.DFSUtil;Map getSecondaryNameNodeAddresses(Configuration conf);String[] getSuffixIDs(Configuration conf, String addressKey, String knownNsId, String knownNNId, AddressMatcher matcher);@throws;;;on error;false
org.apache.hadoop.hdfs.DFSUtil;Map getSecondaryNameNodeAddresses(Configuration conf);void addPBProtocol(Configuration conf, Class protocol, BlockingService service, RPC.Server server);@param;Configuration conf;Configuration conf;configuration;true
org.apache.hadoop.hdfs.DFSUtil;Map getNNServiceRpcAddresses(Configuration conf);Map getNNServiceRpcAddressesForCluster(Configuration conf);@return;;;list of InetSocketAddress;false
org.apache.hadoop.hdfs.DFSUtil;Map getNNServiceRpcAddresses(Configuration conf);Map getNNServiceRpcAddressesForCluster(Configuration conf);@param;Configuration conf;Configuration conf;configuration;true
org.apache.hadoop.hdfs.DFSUtil;Map getNNServiceRpcAddresses(Configuration conf);Map getNNServiceRpcAddressesForCluster(Configuration conf);@throws;;;on error;true
org.apache.hadoop.hdfs.DFSUtil;Map getNNServiceRpcAddresses(Configuration conf);Collection getInternalNsRpcUris(Configuration conf);@param;Configuration conf;Configuration conf;configuration;true
org.apache.hadoop.hdfs.DFSUtil;Map getNNServiceRpcAddresses(Configuration conf);Collection getNameServiceUris(Configuration conf, Collection nameServices, String keys);@param;Configuration conf;Configuration conf;configuration;true
org.apache.hadoop.hdfs.DFSUtil;Map getNNServiceRpcAddresses(Configuration conf);URI getInfoServer(InetSocketAddress namenodeAddr, Configuration conf, String scheme);@param;Configuration conf;Configuration conf;configuration;true
org.apache.hadoop.hdfs.DFSUtil;Map getNNServiceRpcAddresses(Configuration conf);String[] getSuffixIDs(Configuration conf, String addressKey, String knownNsId, String knownNNId, AddressMatcher matcher);@throws;;;on error;false
org.apache.hadoop.hdfs.DFSUtil;Map getNNServiceRpcAddresses(Configuration conf);void addPBProtocol(Configuration conf, Class protocol, BlockingService service, RPC.Server server);@param;Configuration conf;Configuration conf;configuration;true
org.apache.hadoop.hdfs.DFSUtil;Map getNNServiceRpcAddressesForCluster(Configuration conf);Collection getInternalNsRpcUris(Configuration conf);@param;Configuration conf;Configuration conf;configuration;true
org.apache.hadoop.hdfs.DFSUtil;Map getNNServiceRpcAddressesForCluster(Configuration conf);Collection getNameServiceUris(Configuration conf, Collection nameServices, String keys);@param;Configuration conf;Configuration conf;configuration;true
org.apache.hadoop.hdfs.DFSUtil;Map getNNServiceRpcAddressesForCluster(Configuration conf);URI getInfoServer(InetSocketAddress namenodeAddr, Configuration conf, String scheme);@param;Configuration conf;Configuration conf;configuration;true
org.apache.hadoop.hdfs.DFSUtil;Map getNNServiceRpcAddressesForCluster(Configuration conf);String[] getSuffixIDs(Configuration conf, String addressKey, String knownNsId, String knownNNId, AddressMatcher matcher);@throws;;;on error;false
org.apache.hadoop.hdfs.DFSUtil;Map getNNServiceRpcAddressesForCluster(Configuration conf);void addPBProtocol(Configuration conf, Class protocol, BlockingService service, RPC.Server server);@param;Configuration conf;Configuration conf;configuration;true
org.apache.hadoop.hdfs.DFSUtil;Collection getInternalNsRpcUris(Configuration conf);Collection getNameServiceUris(Configuration conf, Collection nameServices, String keys);@param;Configuration conf;Configuration conf;configuration;true
org.apache.hadoop.hdfs.DFSUtil;Collection getInternalNsRpcUris(Configuration conf);URI getInfoServer(InetSocketAddress namenodeAddr, Configuration conf, String scheme);@param;Configuration conf;Configuration conf;configuration;true
org.apache.hadoop.hdfs.DFSUtil;Collection getInternalNsRpcUris(Configuration conf);void addPBProtocol(Configuration conf, Class protocol, BlockingService service, RPC.Server server);@param;Configuration conf;Configuration conf;configuration;true
org.apache.hadoop.hdfs.DFSUtil;Collection getNameServiceUris(Configuration conf, Collection nameServices, String keys);URI getInfoServer(InetSocketAddress namenodeAddr, Configuration conf, String scheme);@param;Configuration conf;Configuration conf;configuration;true
org.apache.hadoop.hdfs.DFSUtil;Collection getNameServiceUris(Configuration conf, Collection nameServices, String keys);void addPBProtocol(Configuration conf, Class protocol, BlockingService service, RPC.Server server);@param;Configuration conf;Configuration conf;configuration;true
org.apache.hadoop.hdfs.DFSUtil;URI getInfoServer(InetSocketAddress namenodeAddr, Configuration conf, String scheme);void addPBProtocol(Configuration conf, Class protocol, BlockingService service, RPC.Server server);@param;Configuration conf;Configuration conf;configuration;true
org.apache.hadoop.hdfs.DFSUtil;String[] getSuffixIDs(Configuration conf, String addressKey, String knownNsId, String knownNNId, AddressMatcher matcher);String getNamenodeServiceAddr(Configuration conf, String nsId, String nnId);@param;Configuration conf;Configuration conf;Configuration;true
org.apache.hadoop.hdfs.DFSUtil;String[] getSuffixIDs(Configuration conf, String addressKey, String knownNsId, String knownNNId, AddressMatcher matcher);float getInvalidateWorkPctPerIteration(Configuration conf);@param;Configuration conf;Configuration conf;Configuration;true
org.apache.hadoop.hdfs.DFSUtil;String[] getSuffixIDs(Configuration conf, String addressKey, String knownNsId, String knownNNId, AddressMatcher matcher);int getReplWorkMultiplier(Configuration conf);@param;Configuration conf;Configuration conf;Configuration;true
org.apache.hadoop.hdfs.DFSUtil;String[] getSuffixIDs(Configuration conf, String addressKey, String knownNsId, String knownNNId, AddressMatcher matcher);String getSpnegoKeytabKey(Configuration conf, String defaultKey);@param;Configuration conf;Configuration conf;Configuration;true
org.apache.hadoop.hdfs.DFSUtil;String[] getSuffixIDs(Configuration conf, String addressKey, String knownNsId, String knownNNId, AddressMatcher matcher);KeyProvider createKeyProvider(Configuration conf);@param;Configuration conf;Configuration conf;Configuration;true
org.apache.hadoop.hdfs.DFSUtil;String[] getSuffixIDs(Configuration conf, String addressKey, String knownNsId, String knownNNId, AddressMatcher matcher);KeyProviderCryptoExtension createKeyProviderCryptoExtension(Configuration conf);@param;Configuration conf;Configuration conf;Configuration;true
org.apache.hadoop.hdfs.DFSUtil;String getNamenodeServiceAddr(Configuration conf, String nsId, String nnId);float getInvalidateWorkPctPerIteration(Configuration conf);@param;Configuration conf;Configuration conf;Configuration;true
org.apache.hadoop.hdfs.DFSUtil;String getNamenodeServiceAddr(Configuration conf, String nsId, String nnId);int getReplWorkMultiplier(Configuration conf);@param;Configuration conf;Configuration conf;Configuration;true
org.apache.hadoop.hdfs.DFSUtil;String getNamenodeServiceAddr(Configuration conf, String nsId, String nnId);String getSpnegoKeytabKey(Configuration conf, String defaultKey);@param;Configuration conf;Configuration conf;Configuration;true
org.apache.hadoop.hdfs.DFSUtil;String getNamenodeServiceAddr(Configuration conf, String nsId, String nnId);KeyProvider createKeyProvider(Configuration conf);@param;Configuration conf;Configuration conf;Configuration;true
org.apache.hadoop.hdfs.DFSUtil;String getNamenodeServiceAddr(Configuration conf, String nsId, String nnId);KeyProviderCryptoExtension createKeyProviderCryptoExtension(Configuration conf);@param;Configuration conf;Configuration conf;Configuration;true
org.apache.hadoop.hdfs.DFSUtil;float getInvalidateWorkPctPerIteration(Configuration conf);int getReplWorkMultiplier(Configuration conf);@param;Configuration conf;Configuration conf;Configuration;true
org.apache.hadoop.hdfs.DFSUtil;float getInvalidateWorkPctPerIteration(Configuration conf);String getSpnegoKeytabKey(Configuration conf, String defaultKey);@param;Configuration conf;Configuration conf;Configuration;true
org.apache.hadoop.hdfs.DFSUtil;float getInvalidateWorkPctPerIteration(Configuration conf);KeyProvider createKeyProvider(Configuration conf);@param;Configuration conf;Configuration conf;Configuration;true
org.apache.hadoop.hdfs.DFSUtil;float getInvalidateWorkPctPerIteration(Configuration conf);KeyProviderCryptoExtension createKeyProviderCryptoExtension(Configuration conf);@param;Configuration conf;Configuration conf;Configuration;true
org.apache.hadoop.hdfs.DFSUtil;int getReplWorkMultiplier(Configuration conf);String getSpnegoKeytabKey(Configuration conf, String defaultKey);@param;Configuration conf;Configuration conf;Configuration;true
org.apache.hadoop.hdfs.DFSUtil;int getReplWorkMultiplier(Configuration conf);KeyProvider createKeyProvider(Configuration conf);@param;Configuration conf;Configuration conf;Configuration;true
org.apache.hadoop.hdfs.DFSUtil;int getReplWorkMultiplier(Configuration conf);KeyProviderCryptoExtension createKeyProviderCryptoExtension(Configuration conf);@param;Configuration conf;Configuration conf;Configuration;true
org.apache.hadoop.hdfs.DFSUtil;String getSpnegoKeytabKey(Configuration conf, String defaultKey);KeyProvider createKeyProvider(Configuration conf);@param;Configuration conf;Configuration conf;Configuration;true
org.apache.hadoop.hdfs.DFSUtil;String getSpnegoKeytabKey(Configuration conf, String defaultKey);KeyProviderCryptoExtension createKeyProviderCryptoExtension(Configuration conf);@param;Configuration conf;Configuration conf;Configuration;true
org.apache.hadoop.hdfs.DFSUtil;KeyProvider createKeyProvider(Configuration conf);KeyProviderCryptoExtension createKeyProviderCryptoExtension(Configuration conf);@param;Configuration conf;Configuration conf;Configuration;true
org.apache.hadoop.hdfs.DFSUtil;KeyProvider createKeyProvider(Configuration conf);KeyProviderCryptoExtension createKeyProviderCryptoExtension(Configuration conf);@throws;;;if the KeyProvider is improperly specified in the Configuration;true
org.apache.hadoop.hdfs.net.Peer;void setReadTimeout(int timeoutMs);void setWriteTimeout(int timeoutMs);@param;int timeoutMs;int timeoutMs;The timeout in milliseconds.;true
org.apache.hadoop.hdfs.DFSInotifyEventInputStream;EventBatch poll(long time, TimeUnit tu);EventBatch take();@throws;;;see DFSInotifyEventInputStream#poll();true
org.apache.hadoop.hdfs.DFSInotifyEventInputStream;EventBatch poll(long time, TimeUnit tu);EventBatch take();@throws;;;see DFSInotifyEventInputStream#poll();false
org.apache.hadoop.hdfs.DFSInotifyEventInputStream;EventBatch poll(long time, TimeUnit tu);EventBatch take();@throws;;;see DFSInotifyEventInputStream#poll();false
org.apache.hadoop.hdfs.DFSInotifyEventInputStream;EventBatch poll(long time, TimeUnit tu);EventBatch take();@throws;;;see DFSInotifyEventInputStream#poll();true
