Class;Method1;Method2;Type;Param1;Param2;Cloned text;Legit?
org.elasticsearch.cluster.routing.allocation.command.AbstractAllocateAllocationCommand;void initializeUnassignedShard(RoutingAllocation allocation, RoutingNodes routingNodes, RoutingNode routingNode, ShardRouting shardRouting);void initializeUnassignedShard(RoutingAllocation allocation, RoutingNodes routingNodes, RoutingNode routingNode, ShardRouting shardRouting, UnassignedInfo unassignedInfo, RecoverySource recoverySource);@param;RoutingNodes routingNodes;RoutingNodes routingNodes;the routing nodes;true
org.elasticsearch.cluster.routing.allocation.command.AbstractAllocateAllocationCommand;void initializeUnassignedShard(RoutingAllocation allocation, RoutingNodes routingNodes, RoutingNode routingNode, ShardRouting shardRouting);void initializeUnassignedShard(RoutingAllocation allocation, RoutingNodes routingNodes, RoutingNode routingNode, ShardRouting shardRouting, UnassignedInfo unassignedInfo, RecoverySource recoverySource);@param;RoutingNode routingNode;RoutingNode routingNode;the node to initialize it to;true
org.elasticsearch.cluster.routing.allocation.command.AbstractAllocateAllocationCommand;void initializeUnassignedShard(RoutingAllocation allocation, RoutingNodes routingNodes, RoutingNode routingNode, ShardRouting shardRouting);void initializeUnassignedShard(RoutingAllocation allocation, RoutingNodes routingNodes, RoutingNode routingNode, ShardRouting shardRouting, UnassignedInfo unassignedInfo, RecoverySource recoverySource);@param;ShardRouting shardRouting;ShardRouting shardRouting;the shard routing that is to be matched in unassigned shards;true
org.elasticsearch.cluster.routing.allocation.AllocateUnassignedDecision;AllocateUnassignedDecision no(AllocationStatus allocationStatus, List decisions);AllocateUnassignedDecision no(AllocationStatus allocationStatus, List decisions, boolean reuseStore);Whole;;;Returns a NO decision with the given {@link AllocationStatus}, and the individual node-level decisions that comprised the final NO decision if in explain mode.    ;false
org.elasticsearch.cluster.node.DiscoveryNodes;boolean nodeExists(String nodeId);boolean nodeExists(DiscoveryNode node);@return;;;true if the node exists. Otherwise false;true
org.elasticsearch.cluster.node.DiscoveryNodes;Version getSmallestNonClientNodeVersion();Version getMinNodeVersion();@return;;;the oldest version in the cluster;false
org.elasticsearch.cluster.node.DiscoveryNodes;Version getLargestNonClientNodeVersion();Version getMaxNodeVersion();@return;;;the youngest version in the cluster;false
org.elasticsearch.cluster.node.DiscoveryNode; DiscoveryNode(String id, TransportAddress address, Version version); DiscoveryNode(String id, TransportAddress address, Map attributes, Set roles, Version version);Free text;;;Creates a new {@link DiscoveryNode} <p> <b>Note:</b> if the version of the node is unknown {@link Version#minimumCompatibilityVersion()} should be used for the current version. it corresponds to the minimum version this elasticsearch version can communicate with. If a higher version is used the node might not be able to communicate with the remove node. After initial handshakes node versions will be discovered and updated. </p> ;true
org.elasticsearch.cluster.node.DiscoveryNode; DiscoveryNode(String id, TransportAddress address, Version version); DiscoveryNode(String id, TransportAddress address, Map attributes, Set roles, Version version);@param;String id;String id;the nodes unique (persistent) node id. This constructor will auto generate a random ephemeral id.;true
org.elasticsearch.cluster.node.DiscoveryNode; DiscoveryNode(String id, TransportAddress address, Version version); DiscoveryNode(String id, TransportAddress address, Map attributes, Set roles, Version version);@param;TransportAddress address;TransportAddress address;the nodes transport address;true
org.elasticsearch.cluster.node.DiscoveryNode; DiscoveryNode(String id, TransportAddress address, Version version); DiscoveryNode(String id, TransportAddress address, Map attributes, Set roles, Version version);@param;Version version;Version version;the version of the node;true
org.elasticsearch.cluster.node.DiscoveryNode; DiscoveryNode(String id, TransportAddress address, Version version); DiscoveryNode(String nodeName, String nodeId, TransportAddress address, Map attributes, Set roles, Version version);Free text;;;Creates a new {@link DiscoveryNode} <p> <b>Note:</b> if the version of the node is unknown {@link Version#minimumCompatibilityVersion()} should be used for the current version. it corresponds to the minimum version this elasticsearch version can communicate with. If a higher version is used the node might not be able to communicate with the remove node. After initial handshakes node versions will be discovered and updated. </p> ;true
org.elasticsearch.cluster.node.DiscoveryNode; DiscoveryNode(String id, TransportAddress address, Version version); DiscoveryNode(String nodeName, String nodeId, TransportAddress address, Map attributes, Set roles, Version version);@param;TransportAddress address;TransportAddress address;the nodes transport address;true
org.elasticsearch.cluster.node.DiscoveryNode; DiscoveryNode(String id, TransportAddress address, Version version); DiscoveryNode(String nodeName, String nodeId, TransportAddress address, Map attributes, Set roles, Version version);@param;Version version;Version version;the version of the node;true
org.elasticsearch.cluster.node.DiscoveryNode; DiscoveryNode(String id, TransportAddress address, Version version); DiscoveryNode(String nodeName, String nodeId, String ephemeralId, String hostName, String hostAddress, TransportAddress address, Map attributes, Set roles, Version version);@param;TransportAddress address;TransportAddress address;the nodes transport address;true
org.elasticsearch.cluster.node.DiscoveryNode; DiscoveryNode(String id, TransportAddress address, Version version); DiscoveryNode(String nodeName, String nodeId, String ephemeralId, String hostName, String hostAddress, TransportAddress address, Map attributes, Set roles, Version version);@param;Version version;Version version;the version of the node;true
org.elasticsearch.cluster.node.DiscoveryNode; DiscoveryNode(String id, TransportAddress address, Map attributes, Set roles, Version version); DiscoveryNode(String nodeName, String nodeId, TransportAddress address, Map attributes, Set roles, Version version);Free text;;;Creates a new {@link DiscoveryNode} <p> <b>Note:</b> if the version of the node is unknown {@link Version#minimumCompatibilityVersion()} should be used for the current version. it corresponds to the minimum version this elasticsearch version can communicate with. If a higher version is used the node might not be able to communicate with the remove node. After initial handshakes node versions will be discovered and updated. </p> ;true
org.elasticsearch.cluster.node.DiscoveryNode; DiscoveryNode(String id, TransportAddress address, Map attributes, Set roles, Version version); DiscoveryNode(String nodeName, String nodeId, TransportAddress address, Map attributes, Set roles, Version version);@param;TransportAddress address;TransportAddress address;the nodes transport address;true
org.elasticsearch.cluster.node.DiscoveryNode; DiscoveryNode(String id, TransportAddress address, Map attributes, Set roles, Version version); DiscoveryNode(String nodeName, String nodeId, TransportAddress address, Map attributes, Set roles, Version version);@param;Map<String,String> attributes;Map<String,String> attributes;node attributes;true
org.elasticsearch.cluster.node.DiscoveryNode; DiscoveryNode(String id, TransportAddress address, Map attributes, Set roles, Version version); DiscoveryNode(String nodeName, String nodeId, TransportAddress address, Map attributes, Set roles, Version version);@param;Set<Role> roles;Set<Role> roles;node roles;true
org.elasticsearch.cluster.node.DiscoveryNode; DiscoveryNode(String id, TransportAddress address, Map attributes, Set roles, Version version); DiscoveryNode(String nodeName, String nodeId, TransportAddress address, Map attributes, Set roles, Version version);@param;Version version;Version version;the version of the node;true
org.elasticsearch.cluster.node.DiscoveryNode; DiscoveryNode(String id, TransportAddress address, Map attributes, Set roles, Version version); DiscoveryNode(String nodeName, String nodeId, String ephemeralId, String hostName, String hostAddress, TransportAddress address, Map attributes, Set roles, Version version);@param;TransportAddress address;TransportAddress address;the nodes transport address;true
org.elasticsearch.cluster.node.DiscoveryNode; DiscoveryNode(String id, TransportAddress address, Map attributes, Set roles, Version version); DiscoveryNode(String nodeName, String nodeId, String ephemeralId, String hostName, String hostAddress, TransportAddress address, Map attributes, Set roles, Version version);@param;Map<String,String> attributes;Map<String,String> attributes;node attributes;true
org.elasticsearch.cluster.node.DiscoveryNode; DiscoveryNode(String id, TransportAddress address, Map attributes, Set roles, Version version); DiscoveryNode(String nodeName, String nodeId, String ephemeralId, String hostName, String hostAddress, TransportAddress address, Map attributes, Set roles, Version version);@param;Set<Role> roles;Set<Role> roles;node roles;true
org.elasticsearch.cluster.node.DiscoveryNode; DiscoveryNode(String id, TransportAddress address, Map attributes, Set roles, Version version); DiscoveryNode(String nodeName, String nodeId, String ephemeralId, String hostName, String hostAddress, TransportAddress address, Map attributes, Set roles, Version version);@param;Version version;Version version;the version of the node;true
org.elasticsearch.cluster.node.DiscoveryNode; DiscoveryNode(String nodeName, String nodeId, TransportAddress address, Map attributes, Set roles, Version version); DiscoveryNode(String nodeName, String nodeId, String ephemeralId, String hostName, String hostAddress, TransportAddress address, Map attributes, Set roles, Version version);@param;String nodeName;String nodeName;the nodes name;true
org.elasticsearch.cluster.node.DiscoveryNode; DiscoveryNode(String nodeName, String nodeId, TransportAddress address, Map attributes, Set roles, Version version); DiscoveryNode(String nodeName, String nodeId, String ephemeralId, String hostName, String hostAddress, TransportAddress address, Map attributes, Set roles, Version version);@param;TransportAddress address;TransportAddress address;the nodes transport address;true
org.elasticsearch.cluster.node.DiscoveryNode; DiscoveryNode(String nodeName, String nodeId, TransportAddress address, Map attributes, Set roles, Version version); DiscoveryNode(String nodeName, String nodeId, String ephemeralId, String hostName, String hostAddress, TransportAddress address, Map attributes, Set roles, Version version);@param;Map<String,String> attributes;Map<String,String> attributes;node attributes;true
org.elasticsearch.cluster.node.DiscoveryNode; DiscoveryNode(String nodeName, String nodeId, TransportAddress address, Map attributes, Set roles, Version version); DiscoveryNode(String nodeName, String nodeId, String ephemeralId, String hostName, String hostAddress, TransportAddress address, Map attributes, Set roles, Version version);@param;Set<Role> roles;Set<Role> roles;node roles;true
org.elasticsearch.cluster.node.DiscoveryNode; DiscoveryNode(String nodeName, String nodeId, TransportAddress address, Map attributes, Set roles, Version version); DiscoveryNode(String nodeName, String nodeId, String ephemeralId, String hostName, String hostAddress, TransportAddress address, Map attributes, Set roles, Version version);@param;Version version;Version version;the version of the node;true
org.elasticsearch.cluster.service.MasterService;void submitStateUpdateTask(String source, T updateTask);void submitStateUpdateTask(String source, T task, ClusterStateTaskConfig config, ClusterStateTaskExecutor executor, ClusterStateTaskListener listener);@param;String source;String source;the source of the cluster state update task;true
org.elasticsearch.cluster.service.MasterService;void submitStateUpdateTask(String source, T updateTask);void submitStateUpdateTasks(String source, Map tasks, ClusterStateTaskConfig config, ClusterStateTaskExecutor executor);@param;String source;String source;the source of the cluster state update task;true
org.elasticsearch.cluster.service.MasterService;void submitStateUpdateTask(String source, T task, ClusterStateTaskConfig config, ClusterStateTaskExecutor executor, ClusterStateTaskListener listener);void submitStateUpdateTasks(String source, Map tasks, ClusterStateTaskConfig config, ClusterStateTaskExecutor executor);@param;String source;String source;the source of the cluster state update task;true
org.elasticsearch.cluster.service.MasterService;void submitStateUpdateTask(String source, T task, ClusterStateTaskConfig config, ClusterStateTaskExecutor executor, ClusterStateTaskListener listener);void submitStateUpdateTasks(String source, Map tasks, ClusterStateTaskConfig config, ClusterStateTaskExecutor executor);@param;ClusterStateTaskConfig config;ClusterStateTaskConfig config;the cluster state update task configuration;true
org.elasticsearch.cluster.service.MasterService;void submitStateUpdateTask(String source, T task, ClusterStateTaskConfig config, ClusterStateTaskExecutor executor, ClusterStateTaskListener listener);void submitStateUpdateTasks(String source, Map tasks, ClusterStateTaskConfig config, ClusterStateTaskExecutor executor);@param;ClusterStateTaskExecutor<T> executor;ClusterStateTaskExecutor<T> executor;the cluster state update task executor, tasks that share the same executor will be executed batches on this executor;true
org.elasticsearch.cluster.service.ClusterService;void submitStateUpdateTask(String source, T updateTask);void submitStateUpdateTask(String source, T task, ClusterStateTaskConfig config, ClusterStateTaskExecutor executor, ClusterStateTaskListener listener);@param;String source;String source;the source of the cluster state update task;true
org.elasticsearch.cluster.service.ClusterService;void submitStateUpdateTask(String source, T updateTask);void submitStateUpdateTasks(String source, Map tasks, ClusterStateTaskConfig config, ClusterStateTaskExecutor executor);@param;String source;String source;the source of the cluster state update task;true
org.elasticsearch.cluster.service.ClusterService;void submitStateUpdateTask(String source, T task, ClusterStateTaskConfig config, ClusterStateTaskExecutor executor, ClusterStateTaskListener listener);void submitStateUpdateTasks(String source, Map tasks, ClusterStateTaskConfig config, ClusterStateTaskExecutor executor);@param;String source;String source;the source of the cluster state update task;true
org.elasticsearch.cluster.service.ClusterService;void submitStateUpdateTask(String source, T task, ClusterStateTaskConfig config, ClusterStateTaskExecutor executor, ClusterStateTaskListener listener);void submitStateUpdateTasks(String source, Map tasks, ClusterStateTaskConfig config, ClusterStateTaskExecutor executor);@param;ClusterStateTaskConfig config;ClusterStateTaskConfig config;the cluster state update task configuration;true
org.elasticsearch.cluster.service.ClusterService;void submitStateUpdateTask(String source, T task, ClusterStateTaskConfig config, ClusterStateTaskExecutor executor, ClusterStateTaskListener listener);void submitStateUpdateTasks(String source, Map tasks, ClusterStateTaskConfig config, ClusterStateTaskExecutor executor);@param;ClusterStateTaskExecutor<T> executor;ClusterStateTaskExecutor<T> executor;the cluster state update task executor, tasks that share the same executor will be executed batches on this executor;true
org.elasticsearch.cluster.metadata.IndexMetaData;ShardId selectSplitShard(int shardId, IndexMetaData sourceIndexMetadata, int numTargetShards);Set selectShrinkShards(int shardId, IndexMetaData sourceIndexMetadata, int numTargetShards);@param;IndexMetaData sourceIndexMetadata;IndexMetaData sourceIndexMetadata;the source index metadata;true
org.elasticsearch.cluster.metadata.IndexMetaData;ShardId selectSplitShard(int shardId, IndexMetaData sourceIndexMetadata, int numTargetShards);Set selectShrinkShards(int shardId, IndexMetaData sourceIndexMetadata, int numTargetShards);@param;int numTargetShards;int numTargetShards;the total number of shards in the target index;true
org.elasticsearch.cluster.metadata.IndexMetaData;ShardId selectSplitShard(int shardId, IndexMetaData sourceIndexMetadata, int numTargetShards);int getRoutingFactor(int sourceNumberOfShards, int targetNumberOfShards);@param;int numTargetShards;int targetNumberOfShards;the total number of shards in the target index;false
org.elasticsearch.cluster.metadata.IndexMetaData;Set selectShrinkShards(int shardId, IndexMetaData sourceIndexMetadata, int numTargetShards);int getRoutingFactor(int sourceNumberOfShards, int targetNumberOfShards);@param;int numTargetShards;int targetNumberOfShards;the total number of shards in the target index;false
org.elasticsearch.cluster.metadata.IndexNameExpressionResolver;String[] concreteIndexNames(ClusterState state, IndicesOptions options, String indexExpressions);Index[] concreteIndices(ClusterState state, IndicesOptions options, String indexExpressions);Whole;;;Translates the provided index expression into actual concrete indices, properly deduplicated.  @param the cluster state containing all the data to resolve to expressions to concrete indices@param defines how the aliases or indices need to be resolved to concrete indices@param expressions that can be resolved to alias or index names. @return the resolved concrete indices based on the cluster state, indices options and index expressions @throws if one of the index expressions is pointing to a missing index or alias and the provided indices options in the context don't allow such a case, or if the final result of the indices resolution contains no indices and the indices options in the context don't allow such a case.@throws if one of the aliases resolve to multiple indices and the provided indices options in the context don't allow such a case.;false
org.elasticsearch.cluster.metadata.IndexNameExpressionResolver;String[] concreteIndexNames(ClusterState state, IndicesOptions options, String indexExpressions);Index[] concreteIndices(ClusterState state, IndicesOptions options, long startTime, String indexExpressions);Free text;;;Translates the provided index expression into actual concrete indices, properly deduplicated. ;false
org.elasticsearch.cluster.metadata.IndexNameExpressionResolver;String[] concreteIndexNames(ClusterState state, IndicesOptions options, String indexExpressions);Index[] concreteIndices(ClusterState state, IndicesOptions options, long startTime, String indexExpressions);@param;ClusterState state;ClusterState state;the cluster state containing all the data to resolve to expressions to concrete indices;true
org.elasticsearch.cluster.metadata.IndexNameExpressionResolver;String[] concreteIndexNames(ClusterState state, IndicesOptions options, String indexExpressions);Index[] concreteIndices(ClusterState state, IndicesOptions options, long startTime, String indexExpressions);@param;IndicesOptions options;IndicesOptions options;defines how the aliases or indices need to be resolved to concrete indices;true
org.elasticsearch.cluster.metadata.IndexNameExpressionResolver;String[] concreteIndexNames(ClusterState state, IndicesOptions options, String indexExpressions);Index[] concreteIndices(ClusterState state, IndicesOptions options, long startTime, String indexExpressions);@param;String indexExpressions;String indexExpressions;expressions that can be resolved to alias or index names.;true
org.elasticsearch.cluster.metadata.IndexNameExpressionResolver;String[] concreteIndexNames(ClusterState state, IndicesOptions options, String indexExpressions);Index[] concreteIndices(ClusterState state, IndicesOptions options, long startTime, String indexExpressions);@throws;;;if one of the aliases resolve to multiple indices and the provided indices options in the context don't allow such a case.;true
org.elasticsearch.cluster.metadata.IndexNameExpressionResolver;Index[] concreteIndices(ClusterState state, IndicesOptions options, String indexExpressions);Index[] concreteIndices(ClusterState state, IndicesOptions options, long startTime, String indexExpressions);Free text;;;Translates the provided index expression into actual concrete indices, properly deduplicated. ;true
org.elasticsearch.cluster.metadata.IndexNameExpressionResolver;Index[] concreteIndices(ClusterState state, IndicesOptions options, String indexExpressions);Index[] concreteIndices(ClusterState state, IndicesOptions options, long startTime, String indexExpressions);@param;ClusterState state;ClusterState state;the cluster state containing all the data to resolve to expressions to concrete indices;true
org.elasticsearch.cluster.metadata.IndexNameExpressionResolver;Index[] concreteIndices(ClusterState state, IndicesOptions options, String indexExpressions);Index[] concreteIndices(ClusterState state, IndicesOptions options, long startTime, String indexExpressions);@param;IndicesOptions options;IndicesOptions options;defines how the aliases or indices need to be resolved to concrete indices;true
org.elasticsearch.cluster.metadata.IndexNameExpressionResolver;Index[] concreteIndices(ClusterState state, IndicesOptions options, String indexExpressions);Index[] concreteIndices(ClusterState state, IndicesOptions options, long startTime, String indexExpressions);@param;String indexExpressions;String indexExpressions;expressions that can be resolved to alias or index names.;true
org.elasticsearch.cluster.metadata.IndexNameExpressionResolver;Index[] concreteIndices(ClusterState state, IndicesOptions options, String indexExpressions);Index[] concreteIndices(ClusterState state, IndicesOptions options, long startTime, String indexExpressions);@throws;;;if one of the aliases resolve to multiple indices and the provided indices options in the context don't allow such a case.;true
org.elasticsearch.cluster.metadata.IndexNameExpressionResolver;boolean isAllIndices(List aliasesOrIndices);boolean isExplicitAllPattern(List aliasesOrIndices);@param;List<String> aliasesOrIndices;List<String> aliasesOrIndices;the array containing index names;true
org.elasticsearch.cluster.metadata.IndexNameExpressionResolver;boolean isAllIndices(List aliasesOrIndices);boolean isPatternMatchingAllIndices(MetaData metaData, String[] indicesOrAliases, String[] concreteIndices);@param;List<String> aliasesOrIndices;String[] indicesOrAliases;the array containing index names;false
org.elasticsearch.cluster.metadata.IndexNameExpressionResolver;boolean isExplicitAllPattern(List aliasesOrIndices);boolean isPatternMatchingAllIndices(MetaData metaData, String[] indicesOrAliases, String[] concreteIndices);@param;List<String> aliasesOrIndices;String[] indicesOrAliases;the array containing index names;false
org.elasticsearch.cluster.metadata.MetaData;ImmutableOpenMap findAliases(String[] aliases, String[] concreteIndices);boolean hasAliases(String[] aliases, String[] concreteIndices);@param;String[] aliases;String[] aliases;The names of the index aliases to find;true
org.elasticsearch.cluster.metadata.MetaData;ImmutableOpenMap findAliases(String[] aliases, String[] concreteIndices);boolean hasAliases(String[] aliases, String[] concreteIndices);@param;String[] concreteIndices;String[] concreteIndices;The concrete indexes the index aliases must point to order to be returned.;true
org.elasticsearch.cluster.metadata.AliasValidator;void validateAlias(Alias alias, String index, MetaData metaData);void validateAliasMetaData(AliasMetaData aliasMetaData, String index, MetaData metaData);@throws;;;if the alias is not valid;true
